Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Northeast,NASHUA,Pepperell,PEP503,1935,1997,756,101,0.8664021164021164,42.02302777777778,70.81705555555556
Northeast,NASHUA,Pepperell,PEPNWS,1991,1997,84,18,0.7857142857142857,42.02302777777778,70.81705555555556
Central,MILLERS,Petersham,PET408,1916,2015,1200,57,0.9525,42.02302777777778,70.81705555555556
Central,CHICOPEE,Petersham,PET409,1939,2015,924,89,0.9036796536796536,42.02302777777778,70.81705555555556
Central,MILLERS,Petersham,PETNWS,1991,1996,72,3,0.9583333333333334,42.02302777777778,70.81705555555556
Western,HOUSATONIC,Pittsfield,PIT105,1994,2015,252,26,0.8968253968253969,42.02302777777778,70.81705555555556
Western,HOUSATONIC,Pittsfield,PIT106,1997,2015,216,7,0.9675925925925926,42.02302777777778,70.81705555555556
Connecticut River,WESTFIELD,Plainfield,PLA205,1919,2015,1164,36,0.9690721649484536,42.02302777777778,70.81705555555556
Southeast,SOUTH COASTAL,Plymouth,PLY811,1898,2015,1416,66,0.9533898305084746,42.02302777777778,70.81705555555556
Southeast,SOUTH COASTAL,North Plymouth,PLYNWS,1886,2015,1500,204,0.864,41.981944444444444,70.69666666666667
Central,NASHUA,Princeton,PRI412,1984,2017,408,40,0.9019607843137255,42.491305555555556,71.87941666666666
Central,NASHUA,Princeton,PRIMDC,1963,2015,636,43,0.9323899371069182,42.491305555555556,71.87941666666666
Northeast,BOSTON HARBOR,Reading,REANWS,1899,2015,1404,117,0.9166666666666666,42.524,71.12694444444443
Southeast,SOUTH COASTAL,Rockland,ROC745,1987,2019,396,37,0.9065656565656566,42.152833333333334,70.91213888888889
Northeast,NORTH COASTAL,Rockport,ROCACO,1995,1996,24,0,1.0,42.152833333333334,70.91213888888889
Southeast,TAUNTON,East Freetown,ROCNWS,1895,2015,1452,95,0.9345730027548209,42.152833333333334,70.91213888888889
Central,CHICOPEE,South Barre,RUT417,1927,2015,1068,85,0.9204119850187266,42.152833333333334,70.91213888888889
Central,NASHUA,Rutland,RUT418,1931,2015,1020,124,0.8784313725490196,42.152833333333334,70.91213888888889
Northeast,NORTH COASTAL,Salem,SAL613,1910,2015,1272,103,0.9190251572327044,42.528305555555555,70.87569444444443
Cape Cod and Islands,CAPE COD,Sandwich,SAN905,1997,2019,264,17,0.9356060606060606,41.76413888888889,70.52044444444445
Cape Cod and Islands,CAPE COD,Sandwich,SAN915,1993,2019,324,18,0.9444444444444444,41.700833333333335,70.46888888888888
Southeast,SOUTH COASTAL,Scituate,SCI733,1930,2019,1080,69,0.9361111111111111,42.17802777777778,70.75183333333334
Connecticut River,DEERFIELD,Shelburne Falls,SHL204,1992,1997,72,16,0.7777777777777778,42.17802777777778,70.75183333333334
Central,QUINEBAUG,Southbridge,SOU430,1912,2015,1248,35,0.9719551282051282,42.04988888888889,72.07991666666666
Central,NASHUA,Sterling,STEMDC,1965,2015,612,25,0.9591503267973857,42.04988888888889,72.07991666666666
Western,HOUSATONIC,Stockbridge,STO109,1919,2019,1212,156,0.8712871287128713,42.29347222222222,73.325
Western,HOUSATONIC,Chester,STO110,1992,1996,60,0,1.0,42.29347222222222,73.325
Northeast,CONCORD,Sudbury,SUD518,2001,2019,228,22,0.9035087719298246,42.35375,71.43247222222223
Connecticut River,CONNECTICUT,Sunderland,SUNNWS,1992,2015,288,73,0.7465277777777778,42.35375,71.43247222222223
Southeast,TAUNTON,Taunton,TAU806,1953,2015,756,67,0.9113756613756614,42.35375,71.43247222222223
