Station,Year,Month,Precipitation
BOSNWS,1900,3,
BOSNWS,1900,4,
BOSNWS,1900,5,
BOSNWS,1900,6,
BOSNWS,1900,7,
BOSNWS,1900,8,2.51
BOSNWS,1900,9,4.63
BOSNWS,1900,10,2.14
BOSNWS,1900,11,
BOSNWS,1900,12,
BOSNWS,1901,1,
BOSNWS,1901,2,
BOSNWS,1901,3,
BOSNWS,1901,4,
BOSNWS,1901,5,
BOSNWS,1901,6,
BOSNWS,1901,7,
BOSNWS,1901,8,
BOSNWS,1901,9,
BOSNWS,1901,10,
BOSNWS,1901,11,
BOSNWS,1901,12,3.03
BOSNWS,1902,1,3.03
BOSNWS,1902,2,2.85
BOSNWS,1902,3,1.1
BOSNWS,1902,4,2.99
BOSNWS,1902,5,4.54
BOSNWS,1902,6,3.75
BOSNWS,1902,7,4.31
BOSNWS,1902,8,2.85
BOSNWS,1902,9,2.33
BOSNWS,1902,10,3.57
BOSNWS,1902,11,3.12
BOSNWS,1902,12,2.63
BOSNWS,1903,1,1.0
BOSNWS,1903,2,2.5
BOSNWS,1903,3,1.0
BOSNWS,1903,4,8.5
BOSNWS,1903,5,3.25
BOSNWS,1903,6,4.4
BOSNWS,1903,7,6.02
BOSNWS,1903,8,1.64
BOSNWS,1903,9,2.52
BOSNWS,1903,10,0.19
BOSNWS,1903,11,3.27
BOSNWS,1903,12,2.13
BOSNWS,1904,1,3.03
BOSNWS,1904,2,1.73
BOSNWS,1904,3,2.09
BOSNWS,1904,4,2.52
BOSNWS,1904,5,2.32
BOSNWS,1904,6,2.84
BOSNWS,1904,7,3.0
BOSNWS,1904,8,2.04
BOSNWS,1904,9,2.44
BOSNWS,1904,10,3.41
BOSNWS,1904,11,2.81
BOSNWS,1904,12,2.51
BOSNWS,1905,1,1.99
BOSNWS,1905,2,4.17
BOSNWS,1905,3,1.26
BOSNWS,1905,4,2.38
BOSNWS,1905,5,2.44
BOSNWS,1905,6,2.49
BOSNWS,1905,7,9.91
BOSNWS,1905,8,
BOSNWS,1905,9,
BOSNWS,1905,10,
BOSNWS,1905,11,
BOSNWS,1905,12,
BOSNWS,1906,1,
BOSNWS,1906,2,
BOSNWS,1906,3,1.8
BOSNWS,1906,4,3.48
BOSNWS,1906,5,3.09
BOSNWS,1906,6,3.19
BOSNWS,1906,7,3.12
BOSNWS,1906,8,5.7
BOSNWS,1906,9,4.59
BOSNWS,1906,10,2.3
BOSNWS,1906,11,1.78
BOSNWS,1906,12,3.3
BOSNWS,1907,1,1.91
BOSNWS,1907,2,3.99
BOSNWS,1907,3,7.22
BOSNWS,1907,4,4.57
BOSNWS,1907,5,2.81
BOSNWS,1907,6,2.56
BOSNWS,1907,7,2.76
BOSNWS,1907,8,4.86
BOSNWS,1907,9,3.61
BOSNWS,1907,10,6.37
BOSNWS,1907,11,2.54
BOSNWS,1907,12,3.79
BOSNWS,1908,1,3.63
BOSNWS,1908,2,6.42
BOSNWS,1908,3,4.25
BOSNWS,1908,4,3.41
BOSNWS,1908,5,2.21
BOSNWS,1908,6,3.21
BOSNWS,1908,7,2.32
BOSNWS,1908,8,5.93
BOSNWS,1908,9,4.18
BOSNWS,1908,10,4.15
BOSNWS,1908,11,4.15
BOSNWS,1908,12,1.93
BOSNWS,1909,1,2.82
BOSNWS,1909,2,3.64
BOSNWS,1909,3,4.02
BOSNWS,1909,4,4.66
BOSNWS,1909,5,3.44
BOSNWS,1909,6,3.45
BOSNWS,1909,7,2.11
BOSNWS,1909,8,2.55
BOSNWS,1909,9,4.29
BOSNWS,1909,10,5.6
BOSNWS,1909,11,2.12
BOSNWS,1909,12,3.16
BOSNWS,1910,1,1.49
BOSNWS,1910,2,2.36
BOSNWS,1910,3,4.41
BOSNWS,1910,4,3.53
BOSNWS,1910,5,2.64
BOSNWS,1910,6,2.58
BOSNWS,1910,7,3.75
BOSNWS,1910,8,4.29
BOSNWS,1910,9,6.03
BOSNWS,1910,10,3.8
BOSNWS,1910,11,3.57
BOSNWS,1910,12,2.68
BOSNWS,1911,1,3.62
BOSNWS,1911,2,4.78
BOSNWS,1911,3,1.33
BOSNWS,1911,4,3.78
BOSNWS,1911,5,2.86
BOSNWS,1911,6,4.76
BOSNWS,1911,7,3.23
BOSNWS,1911,8,5.78
BOSNWS,1911,9,3.3
BOSNWS,1911,10,3.3
BOSNWS,1911,11,3.47
BOSNWS,1911,12,3.99
BOSNWS,1912,1,3.43
BOSNWS,1912,2,1.34
BOSNWS,1912,3,5.03
BOSNWS,1912,4,6.28
BOSNWS,1912,5,5.03
BOSNWS,1912,6,5.49
BOSNWS,1912,7,3.1
BOSNWS,1912,8,2.99
BOSNWS,1912,9,4.55
BOSNWS,1912,10,2.94
BOSNWS,1912,11,2.71
BOSNWS,1912,12,2.46
BOSNWS,1913,1,3.37
BOSNWS,1913,2,1.31
BOSNWS,1913,3,7.16
BOSNWS,1913,4,2.43
BOSNWS,1913,5,4.58
BOSNWS,1913,6,5.44
BOSNWS,1913,7,2.46
BOSNWS,1913,8,3.04
BOSNWS,1913,9,0.23
BOSNWS,1913,10,3.88
BOSNWS,1913,11,2.49
BOSNWS,1913,12,4.08
BOSNWS,1914,1,2.0
BOSNWS,1914,2,2.09
BOSNWS,1914,3,3.32
BOSNWS,1914,4,2.14
BOSNWS,1914,5,3.19
BOSNWS,1914,6,2.79
BOSNWS,1914,7,
BOSNWS,1914,8,3.8
BOSNWS,1914,9,3.7
BOSNWS,1914,10,2.59
BOSNWS,1914,11,2.95
BOSNWS,1914,12,
BOSNWS,1915,1,
BOSNWS,1915,2,
BOSNWS,1915,3,
BOSNWS,1915,4,
BOSNWS,1915,5,
BOSNWS,1915,6,
BOSNWS,1915,7,
BOSNWS,1915,8,
BOSNWS,1915,9,
BOSNWS,1915,10,
BOSNWS,1915,11,
BOSNWS,1915,12,
BOSNWS,1916,1,
BOSNWS,1916,2,
BOSNWS,1916,3,2.65
BOSNWS,1916,4,1.16
BOSNWS,1916,5,1.99
BOSNWS,1916,6,3.93
BOSNWS,1916,7,4.65
BOSNWS,1916,8,1.9
BOSNWS,1916,9,3.14
BOSNWS,1916,10,1.61
BOSNWS,1916,11,1.99
BOSNWS,1916,12,3.81
BOSNWS,1917,1,3.4
